experiment,well,config,method,ref_mode,timepoint,true_dy,true_dx,est_dy,est_dx,abs_err_px,post_corr,reg_error,overlap,qc_pass
E1_baseline,0,stride3,B_pilot,anchored,6,-2.091347067622241,-4.950269162225048,2.0,5.0,0.10400693721565331,0.9951520084237129,,0.9638129340277778,True
E1_baseline,0,stride3,B_pilot,anchored,7,-4.608097427163688,6.3688384221642735,5.0,-6.0,0.5381722849240301,0.9973055718097344,,0.9435221354166666,True
E1_baseline,0,stride3,B_pilot,anchored,8,3.9051956174327476,0.4162346306673186,-4.0,0.0,0.42689476305140717,0.9993447832949256,,0.9791666666666666,True
E1_baseline,0,stride4,B_pilot,anchored,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
E1_baseline,0,stride4,B_pilot,anchored,1,0.626488209332539,2.240818880338871,-1.0,-2.0,0.44441511101140646,0.9891131476188173,,0.9844292534722222,True
E1_baseline,0,stride4,B_pilot,anchored,2,-3.8509863207130355,-7.6674154184266055,4.0,8.0,0.36444146377023057,0.9912831965688284,,0.9383680555555556,True
E1_baseline,0,stride4,B_pilot,anchored,3,1.2641919103895614,2.2258596744375545,-1.0,-2.0,0.3475772691824426,0.9924494368711666,,0.9844292534722222,True
E1_baseline,0,stride4,B_pilot,anchored,4,5.84333466828129,2.45754438096653,-6.0,-2.0,0.48362266977115365,0.9963489387490451,,0.9586588541666666,True
E1_baseline,0,stride4,B_pilot,anchored,5,-4.896339659591682,-7.630676111873781,5.0,8.0,0.38359562108323986,0.9981891739975958,,0.9333767361111112,True
E1_baseline,0,stride4,B_pilot,anchored,6,-2.091347067622241,-4.950269162225048,2.0,5.0,0.10400693721565331,0.9956427439485644,,0.9638129340277778,True
E1_baseline,0,stride4,B_pilot,anchored,7,-4.608097427163688,6.3688384221642735,5.0,-6.0,0.5381722849240301,0.9983188388614667,,0.9435221354166666,True
E1_baseline,0,stride4,B_pilot,anchored,8,3.9051956174327476,0.4162346306673186,-4.0,0.0,0.42689476305140717,0.9962676115614015,,0.9791666666666666,True
E1_baseline,0,corr0.3,B_pilot,anchored,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
E1_baseline,0,corr0.3,B_pilot,anchored,1,0.626488209332539,2.240818880338871,-1.0,-2.0,0.44441511101140646,0.9891131476188173,,0.9844292534722222,True
E1_baseline,0,corr0.3,B_pilot,anchored,2,-3.8509863207130355,-7.6674154184266055,4.0,8.0,0.36444146377023057,0.9912831965688284,,0.9383680555555556,True
E1_baseline,0,corr0.3,B_pilot,anchored,3,1.2641919103895614,2.2258596744375545,-1.0,-2.0,0.3475772691824426,0.9924494368711666,,0.9844292534722222,True
E1_baseline,0,corr0.3,B_pilot,anchored,4,5.84333466828129,2.45754438096653,-6.0,-2.0,0.48362266977115365,0.9868726811362626,,0.9586588541666666,True
E1_baseline,0,corr0.3,B_pilot,anchored,5,-4.896339659591682,-7.630676111873781,5.0,8.0,0.38359562108323986,0.9905283132786205,,0.9333767361111112,True
E1_baseline,0,corr0.3,B_pilot,anchored,6,-2.091347067622241,-4.950269162225048,2.0,5.0,0.10400693721565331,0.9982147994263655,,0.9638129340277778,True
E1_baseline,0,corr0.3,B_pilot,anchored,7,-4.608097427163688,6.3688384221642735,5.0,-6.0,0.5381722849240301,0.9851333998950037,,0.9435221354166666,True
E1_baseline,0,corr0.3,B_pilot,anchored,8,3.9051956174327476,0.4162346306673186,-4.0,0.0,0.42689476305140717,0.9895116477590805,,0.9791666666666666,True
E1_baseline,0,corr0.5,B_pilot,anchored,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
E1_baseline,0,corr0.5,B_pilot,anchored,1,0.626488209332539,2.240818880338871,-1.0,-2.0,0.44441511101140646,0.9891131476188173,,0.9844292534722222,True
E1_baseline,0,corr0.5,B_pilot,anchored,2,-3.8509863207130355,-7.6674154184266055,4.0,8.0,0.36444146377023057,0.9912831965688284,,0.9383680555555556,True
E1_baseline,0,corr0.5,B_pilot,anchored,3,1.2641919103895614,2.2258596744375545,-1.0,-2.0,0.3475772691824426,0.9924494368711666,,0.9844292534722222,True
E1_baseline,0,corr0.5,B_pilot,anchored,4,5.84333466828129,2.45754438096653,-6.0,-2.0,0.48362266977115365,0.9868726811362626,,0.9586588541666666,True
E1_baseline,0,corr0.5,B_pilot,anchored,5,-4.896339659591682,-7.630676111873781,5.0,8.0,0.38359562108323986,0.9905283132786205,,0.9333767361111112,True
E1_baseline,0,corr0.5,B_pilot,anchored,6,-2.091347067622241,-4.950269162225048,2.0,5.0,0.10400693721565331,0.9982147994263655,,0.9638129340277778,True
E1_baseline,0,corr0.5,B_pilot,anchored,7,-4.608097427163688,6.3688384221642735,5.0,-6.0,0.5381722849240301,0.9851333998950037,,0.9435221354166666,True
